company_code,year,index_id,index_name,unit,note,value
PNJ,2023,4,Foreign ownership,%,,
PNJ,2023,19,Product innovation,binary,,
PNJ,2023,20,Process innovation,binary,,
PNJ,2023,34,Dividend payment,VND,,
PNJ,2023,36,Number of employees,people,,
PNJ,2024,1,Managerial ownership,%,,
PNJ,2024,2,State ownership,%,,
PNJ,2024,3,Institutional ownership,%,,
PNJ,2024,4,Foreign ownership,%,,
PNJ,2024,19,Product innovation,binary,,
PNJ,2024,20,Process innovation,binary,,
PNJ,2024,34,Dividend payment,VND,,
PNJ,2024,36,Number of employees,people,,
SAB,2020,1,Managerial ownership,%,,
SAB,2020,2,State ownership,%,,
SAB,2020,3,Institutional ownership,%,,
SAB,2020,4,Foreign ownership,%,,
SAB,2020,19,Product innovation,binary,,
SAB,2020,20,Process innovation,binary,,
SAB,2020,34,Dividend payment,VND,,
SAB,2020,36,Number of employees,people,,
SAB,2021,1,Managerial ownership,%,,
SAB,2021,2,State ownership,%,,
SAB,2021,3,Institutional ownership,%,,
SAB,2021,4,Foreign ownership,%,,
SAB,2021,19,Product innovation,binary,,
SAB,2021,20,Process innovation,binary,,
SAB,2021,34,Dividend payment,VND,,
SAB,2021,36,Number of employees,people,,
SAB,2022,1,Managerial ownership,%,,
SAB,2022,2,State ownership,%,,
SAB,2022,3,Institutional ownership,%,,
SAB,2022,4,Foreign ownership,%,,
SAB,2022,19,Product innovation,binary,,
SAB,2022,20,Process innovation,binary,,
SAB,2022,34,Dividend payment,VND,,
SAB,2022,36,Number of employees,people,,
SAB,2023,1,Managerial ownership,%,,
SAB,2023,2,State ownership,%,,
SAB,2023,3,Institutional ownership,%,,
SAB,2023,4,Foreign ownership,%,,
SAB,2023,19,Product innovation,binary,,
SAB,2023,20,Process innovation,binary,,
SAB,2023,34,Dividend payment,VND,,
SAB,2023,36,Number of employees,people,,
SAB,2024,1,Managerial ownership,%,,
SAB,2024,2,State ownership,%,,
SAB,2024,3,Institutional ownership,%,,
SAB,2024,4,Foreign ownership,%,,
SAB,2024,19,Product innovation,binary,,
SAB,2024,20,Process innovation,binary,,
SAB,2024,34,Dividend payment,VND,,
SAB,2024,36,Number of employees,people,,
TRA,2020,1,Managerial ownership,%,,
TRA,2020,2,State ownership,%,,
TRA,2020,3,Institutional ownership,%,,
TRA,2020,4,Foreign ownership,%,,
TRA,2020,19,Product innovation,binary,,
TRA,2020,20,Process innovation,binary,,
TRA,2020,34,Dividend payment,VND,,
TRA,2020,36,Number of employees,people,,
TRA,2021,1,Managerial ownership,%,,
TRA,2021,2,State ownership,%,,
TRA,2021,3,Institutional ownership,%,,
TRA,2021,4,Foreign ownership,%,,
TRA,2021,19,Product innovation,binary,,
TRA,2021,20,Process innovation,binary,,
TRA,2021,34,Dividend payment,VND,,
TRA,2021,36,Number of employees,people,,
TRA,2022,1,Managerial ownership,%,,
TRA,2022,2,State ownership,%,,
TRA,2022,3,Institutional ownership,%,,
TRA,2022,4,Foreign ownership,%,,
TRA,2022,19,Product innovation,binary,,
TRA,2022,20,Process innovation,binary,,
TRA,2022,34,Dividend payment,VND,,
TRA,2022,36,Number of employees,people,,
TRA,2023,1,Managerial ownership,%,,
TRA,2023,2,State ownership,%,,
TRA,2023,3,Institutional ownership,%,,
TRA,2023,4,Foreign ownership,%,,
TRA,2023,19,Product innovation,binary,,
TRA,2023,20,Process innovation,binary,,
