company_code,year,index_id,index_name,value,unit,source
KDC,2022,32,Growth ratio,29.92,%,computed
KDC,2022,33,Total inventory,342311763155.0,VND,pdf
KDC,2022,38,Firm age,29.0,years,yahoo
KDC,2023,1,Managerial ownership,10.0,%,yahoo
KDC,2023,5,Total share outstanding,289806316.0,shares,yahoo
KDC,2023,6,Total sales revenue and Net sales revenue,14951913906439.0,VND,pdf
KDC,2023,7,Total assets,11392802599915.0,VND,pdf
KDC,2023,8,Selling expenses,-972863977207.0,VND,pdf
KDC,2023,9,General and administrative expenditure,450917900450.0,VND,pdf
KDC,2023,14,Merchandise purchase of the year,-8885209538160.0,VND,pdf
KDC,2023,17,Production cost,-8885209538160.0,VND,pdf
KDC,2023,21,Net Income,1373287586279.0,VND,pdf
KDC,2023,22,Total shareholders' equity,6630873224649.0,VND,pdf
KDC,2023,23,Market value of equity,17342050703453.188,VND,yahoo
KDC,2023,28,Cash and cash equivalent,1295109444030.0,VND,pdf
KDC,2023,30,Current assets,4166456771102.0,VND,pdf
KDC,2023,32,Growth ratio,0.0,%,computed
KDC,2023,33,Total inventory,113194569084.0,VND,pdf
KDC,2023,38,Firm age,30.0,years,yahoo
KDC,2024,1,Managerial ownership,10.0,%,yahoo
KDC,2024,5,Total share outstanding,289806316.0,shares,yahoo
KDC,2024,6,Total sales revenue and Net sales revenue,10061274326646.0,VND,pdf
KDC,2024,7,Total assets,931886732070.0,VND,pdf
KDC,2024,8,Selling expenses,-902844796015.0,VND,pdf
KDC,2024,12,Net operating income,4358509705.0,VND,pdf
KDC,2024,14,Merchandise purchase of the year,-8976911032935.0,VND,pdf
KDC,2024,17,Production cost,-8976911032935.0,VND,pdf
KDC,2024,21,Net Income,43518224124.0,VND,pdf
KDC,2024,23,Market value of equity,16726908496345.14,VND,yahoo
KDC,2024,24,Total liabilities,11158444071640.0,VND,pdf
KDC,2024,28,Cash and cash equivalent,868000487198.0,VND,pdf
KDC,2024,30,Current assets,3304443685242.0,VND,pdf
KDC,2024,31,Current liabilities,876405255930.0,VND,pdf
KDC,2024,32,Growth ratio,-32.71,%,computed
KDC,2024,33,Total inventory,-176695431356.0,VND,pdf
KDC,2024,38,Firm age,31.0,years,yahoo
MSN,2020,1,Managerial ownership,10.0,%,yahoo
MSN,2020,8,Selling expenses,13166087.0,VND,pdf
MSN,2020,14,Merchandise purchase of the year,211214.0,VND,pdf
MSN,2020,21,Net Income,2182124.0,VND,pdf
MSN,2020,28,Cash and cash equivalent,6800528.0,VND,pdf
MSN,2020,29,Long-term debt,51831620.0,VND,pdf
MSN,2020,33,Total inventory,12449.0,VND,pdf
MSN,2020,38,Firm age,16.0,years,yahoo
MSN,2021,1,Managerial ownership,10.0,%,yahoo
MSN,2021,10,Value of intangible assets,11292760.0,VND,pdf
MSN,2021,14,Merchandise purchase of the year,3837320.0,VND,pdf
MSN,2021,21,Net Income,18795877.0,VND,pdf
MSN,2021,28,Cash and cash equivalent,6800528.0,VND,pdf
MSN,2021,29,Long-term debt,49208983.0,VND,pdf
MSN,2021,33,Total inventory,1918206.0,VND,pdf
MSN,2021,35,EPS,8562882.0,VND,pdf
MSN,2021,37,"Net plant, property and equipment",31151629.0,VND,pdf
MSN,2021,38,Firm age,17.0,years,yahoo
MSN,2022,1,Managerial ownership,10.0,%,yahoo
MSN,2022,10,Value of intangible assets,12574516.0,VND,pdf
MSN,2022,14,Merchandise purchase of the year,3947303.0,VND,pdf
MSN,2022,21,Net Income,11381940.0,VND,pdf
MSN,2022,22,Total shareholders' equity,1423724783.0,VND,pdf
MSN,2022,25,Net cash from operating activities,-3788852.0,VND,pdf
MSN,2022,27,Cash flows from investing activities,26447.0,VND,pdf
MSN,2022,28,Cash and cash equivalent,13853100.0,VND,pdf
MSN,2022,29,Long-term debt,39385199.0,VND,pdf
MSN,2022,33,Total inventory,14445345.0,VND,pdf
MSN,2022,38,Firm age,18.0,years,yahoo
MSN,2023,1,Managerial ownership,10.0,%,yahoo
MSN,2023,5,Total share outstanding,1445915457.0,shares,yahoo
MSN,2023,8,Selling expenses,14192355.0,VND,pdf
MSN,2023,9,General and administrative expenditure,5222742.0,VND,pdf
MSN,2023,10,Value of intangible assets,1589727.0,VND,pdf
MSN,2023,12,Net operating income,2350429.0,VND,pdf
MSN,2023,14,Merchandise purchase of the year,56130507.0,VND,pdf
MSN,2023,22,Total shareholders' equity,1430843406.0,VND,pdf
MSN,2023,23,Market value of equity,96876335619000.0,VND,yahoo
MSN,2023,27,Cash flows from investing activities,-7823672.0,VND,pdf
MSN,2023,28,Cash and cash equivalent,338149.0,VND,pdf
MSN,2023,29,Long-term debt,58723731.0,VND,pdf
MSN,2023,33,Total inventory,1076401.0,VND,pdf
MSN,2023,37,"Net plant, property and equipment",171865.0,VND,pdf
MSN,2023,38,Firm age,19.0,years,yahoo
MSN,2024,1,Managerial ownership,10.0,%,yahoo
MSN,2024,5,Total share outstanding,1445915457.0,shares,yahoo
MSN,2024,10,Value of intangible assets,-2016866.0,VND,pdf
MSN,2024,14,Merchandise purchase of the year,4333260.0,VND,pdf
MSN,2024,21,Net Income,4494349.0,VND,pdf
MSN,2024,23,Market value of equity,101358673535700.0,VND,yahoo
MSN,2024,25,Net cash from operating activities,9525462.0,VND,pdf
MSN,2024,27,Cash flows from investing activities,10669.0,VND,pdf
MSN,2024,28,Cash and cash equivalent,73362.0,VND,pdf
MSN,2024,33,Total inventory,-98554.0,VND,pdf
MSN,2024,37,"Net plant, property and equipment",3584177.0,VND,pdf
MSN,2024,38,Firm age,20.0,years,yahoo
NAF,2020,1,Managerial ownership,10.0,%,yahoo
NAF,2020,6,Total sales revenue and Net sales revenue,1216065264655.0,VND,pdf
